"_type","balance_price","categories","corridor_id","corridor_name","description","discount","have_discount","id","is_available","name","price","real_price","store_id","store_name"
"RappiItem","37","Gaseosas","271","Bebidas","Tonica Crush 2.25 Lts","0","false","60_108743","true","Tonica Crush 2.25 Lts","37","35","60","Licores"
"RappiItem","53","Gaseosas","271","Bebidas","Pulpo Blanco Tonica","0","false","60_108747","true","Pulpo Blanco Tonica 350ml","53","50","60","Licores"
"RappiItem","68","Gaseosas","271","Bebidas","Coca Cola 2.25 Lts","0","false","60_108740","true","Coca Cola 2.25 Lts","68","65","60","Licores"
"RappiItem","21","Gaseosas","271","Bebidas","Dr Lemon Vodka Lata","0","false","60_108749","true","Dr Lemon Vodka Lata 473ml","21","20","60","Licores"
"RappiItem","32","Gaseosas","271","Bebidas","Baggio","0","false","60_108746","true","Baggio 1 L","32","30","60","Licores"
"RappiItem","37","Gaseosas","271","Bebidas","Red Bull ","0","false","60_108745","true","Red Bull 250ml","37","35","60","Licores"
"RappiItem","68","Gaseosas","271","Bebidas","Sprite 2.25 Lts","0","false","60_108742","true","Sprite 2.25 Lts","68","65","60","Licores"
"RappiItem","68","Gaseosas","271","Bebidas","Coca Cola Light 2.25 Lts","0","false","60_108741","true","Coca Cola Light 2.25 Lts","68","65","60","Licores"
"RappiItem","53","Gaseosas","271","Bebidas","Pulpo Blanco Ginger Ale 350 Ml","0","false","60_108748","true","Pulpo Blanco Ginger Ale 350ml","53","50","60","Licores"
"RappiItem","26","Gaseosas","271","Bebidas","Speed","0","false","60_108744","true","Speed 250ml","26","25","60","Licores"
"RappiItem","273","Champagne","270","Bebidas","Champagne Brut Nature Fond de Cave Brut Nature","0","false","60_108719","true","Champagne Brut Nature Fond de Cave Brut Nature 750 ml","273","260","60","Licores"
"RappiItem","336","Champagne","270","Bebidas","Champagne Extra Brut Luigi Bosca Cuvee","0","false","60_108724","true","Champagne Extra Brut Luigi Bosca Cuvee 750ml","336","320","60","Licores"
"RappiItem","520","Champagne","270","Bebidas","Champagne Brut Nature Baron B Brut Nature","0","false","60_108714","true","Champagne Brut Nature Baron B Brut Nature 750 ml","520","495","60","Licores"
"RappiItem","210","Champagne","270","Bebidas","Champagne Brut Nature La Linda Brut Nature","0","false","60_108715","true","Champagne Brut Nature La Linda Brut Nature 750 ml","210","200","60","Licores"
"RappiItem","473","Champagne","270","Bebidas","Champagne Extra Brut Baron B Extra Brut","0","false","60_108722","true","Champagne Extra Brut Baron B Extra Brut 750 ml","473","450","60","Licores"
"RappiItem","194","Champagne","270","Bebidas","Champagne Extra Brut Salentein Extra Brut","0","false","60_108730","true","Champagne Extra Brut Salentein Extra Brut 750ml","194","185","60","Licores"
"RappiItem","231","Champagne","270","Bebidas","Champagne Extra Brut Animal","0","false","60_108723","true","Champagne Extra Brut Animal 750 ml","231","220","60","Licores"
"RappiItem","189","Champagne","270","Bebidas","Champagne Tocai Alfredo Roca Tocai","0","false","60_108738","true","Champagne Tocai Alfredo Roca Tocai 750ml","189","180","60","Licores"
"RappiItem","609","Champagne","270","Bebidas","Champagne Rosado Baron B Brut Rose","0","false","60_108734","true","Champagne Rosado Baron B Brut Rose 750ml","609","580","60","Licores"
"RappiItem","210","Champagne","270","Bebidas","Champagne Brut Nature Salentein Brut Nature","0","false","60_108718","true","Champagne Brut Nature Salentein Brut Nature 750 ml","210","200","60","Licores"
"RappiItem","420","Otros Licores","274","Bebidas","Baileys DDL","0","false","60_108771","true","Baileys DDL 750ml","420","400","60","Licores"
"RappiItem","273","Otros Licores","274","Bebidas","Bezziers Crema de Cassis","0","false","60_108776","true","Bezziers Crema de Cassis 750 ml","273","260","60","Licores"
"RappiItem","158","Otros Licores","274","Bebidas","Hesperidina","0","false","60_108787","true","Hesperidina 1 L","158","150","60","Licores"
"RappiItem","79","Otros Licores","274","Bebidas","Legui","0","false","60_108778","true","Legui 750 ml","79","75","60","Licores"
"RappiItem","609","Otros Licores","274","Bebidas","Jager 700 cc","0","false","60_108781","true","Jager 700 ml","609","580","60","Licores"
"RappiItem","704","Otros Licores","274","Bebidas","Sheridans","0","false","60_108783","true","Sheridans 700 ml","704","670","60","Licores"
"RappiItem","630","Otros Licores","274","Bebidas","Frangelico","0","false","60_108784","true","Frangelico 700 ml","630","600","60","Licores"
"RappiItem","420","Otros Licores","274","Bebidas","Kahlua","0","false","60_108788","true","Kahlua 750 ml","420","400","60","Licores"
"RappiItem","210","Otros Licores","274","Bebidas","Tia María","0","false","60_108768","true","Tia María 690ml","210","200","60","Licores"
"RappiItem","683","Otros Licores","274","Bebidas","Disaronno","0","false","60_108786","true","Disaronno 750 ml","683","650","60","Licores"
"RappiItem","231","Ron","275","Bebidas","Bacardi Blanco 1L","0","false","60_108790","true","Bacardi Blanco 1L","231","220","60","Licores"
"RappiItem","236","Ron","275","Bebidas","Havana 3 años","0","false","60_108793","true","Havana 3 años 750ml","236","225","60","Licores"
"RappiItem","315","Ron","275","Bebidas","Santa Teresa Claro","0","false","60_108795","true","Santa Teresa Claro 750ml","315","300","60","Licores"
"RappiItem","1386","Ron","275","Bebidas","Ron Zacapa Centenario","0","false","60_108796","true","Ron Zacapa Centenario 750 ml","1386","1320","60","Licores"
"RappiItem","315","Ron","275","Bebidas","Ron Flor de Caña Blanco","0","false","60_108789","true","Ron Flor de Caña Blanco 700ml","315","300","60","Licores"
"RappiItem","236","Ron","275","Bebidas","Havana Añejo Especial 750","0","false","60_108792","true","Havana Añejo Especial 750ml","236","225","60","Licores"
"RappiItem","231","Ron","275","Bebidas","Bacardi Oro 1L","0","false","60_108791","true","Bacardi Oro 1L","231","220","60","Licores"
"RappiItem","273","Ron","275","Bebidas","Ron Barcelo Blanco","0","false","60_108803","true","Ron Barcelo Blanco 750 ml","273","260","60","Licores"
"RappiItem","110","Ron","275","Bebidas","American Club Piña Colada","0","false","60_108802","true","American Club Piña Colada 750 ml","110","105","60","Licores"
"RappiItem","541","Tequila","275","Bebidas","Tequila Jose Cuervo Oro","0","false","60_108798","true","Tequila Jose Cuervo Oro 750ml","541","515","60","Licores"
"RappiItem","599","Tequila","275","Bebidas","Tequila Jimador","0","false","60_108800","true","Tequila Jimador 700 ml","599","570","60","Licores"
"RappiItem","221","Tequila","275","Bebidas","Tequila Conquistador","0","false","60_108801","true","Tequila Conquistador 700 ml","221","210","60","Licores"
"RappiItem","541","Tequila","275","Bebidas","Tequila Jose Cuervo Silver","0","false","60_108797","true","Tequila Jose Cuervo Silver 750ml","541","515","60","Licores"
"RappiItem","572","Tequila","275","Bebidas","Tequila Jose Cuervo Stones","0","false","60_108799","true","Tequila Jose Cuervo Stones 750ml","572","545","60","Licores"
"RappiItem","998","Whisky","282","Bebidas","Scotch Whisky Johnnie Walker Double Black 750","0","false","60_108994","true","Scotch Whisky Johnnie Walker Double Black 750","998","950","60","Licores"
"RappiItem","473","Whisky","282","Bebidas","Irish Whisky Jameson 750","0","false","60_108983","true","Irish Whisky Jameson 750","473","450","60","Licores"
"RappiItem","1386","Whisky","282","Bebidas","Single Malt Escocès Talisker","0","false","60_109008","true","Single Malt Escocès Talisker 700ml","1386","1320","60","Licores"
"RappiItem","389","Whisky","282","Bebidas","Scotch Whisky con miel J&B Honey","0","false","60_109006","true","Scotch Whisky con miel J&B Honey 700ml","389","370","60","Licores"
"RappiItem","1995","Whisky","282","Bebidas","Scotch Whisky  Glenlivet 15 Años añejado en barricas ","0","false","60_109003","true","Scotch Whisky  Glenlivet 15 Años añejado en barricas  700 ml","1995","1900","60","Licores"
"RappiItem","2258","Whisky","282","Bebidas","Scotch Whisky Chivas añejado 18 años","0","false","60_109004","true","Scotch Whisky Chivas añejado 18 años 700 ml","2258","2150","60","Licores"
"RappiItem","1575","Whisky","282","Bebidas","Scotch Whisky Johnnie Walker Gold 750","0","false","60_108996","true","Scotch Whisky Johnnie Walker Gold 750ml","1575","1500","60","Licores"
"RappiItem","1680","Whisky","282","Bebidas","Single Malt Escocès Glenmorangie","0","false","60_109007","true","Single Malt Escocès Glenmorangie 700ml","1680","1600","60","Licores"
"RappiItem","945","Whisky","282","Bebidas","Bourbon Jim Beam Red","0","false","60_108980","true","Bourbon Jim Beam Red 750 ml","945","900","60","Licores"
"RappiItem","8925","Whisky","282","Bebidas","Chivas 25 añejado 18 años en barricas ","0","false","60_108971","true","Chivas 25 añejado  750 Ml (18 años en barricas)","8925","8500","60","Licores"
"RappiItem","441","Gin","273","Bebidas","Tanqueray 750cl","0","false","60_108756","true","Tanqueray 750cl","441","420","60","Licores"
"RappiItem","383","Gin","273","Bebidas","Principe de los Apostoles","0","false","60_108754","true","Principe de los Apostoles","383","365","60","Licores"
"RappiItem","158","Gin","273","Bebidas","Gin Burnets","0","false","60_108752","true","Gin Burnets 1L","158","150","60","Licores"
"RappiItem","473","Gin","273","Bebidas","Beefeater 1L","0","false","60_108758","true","Beefeater 1L","473","450","60","Licores"
"RappiItem","184","Gin","273","Bebidas","Gin Gordons","0","false","60_108753","true","Gin Gordons 700ml","184","175","60","Licores"
"RappiItem","420","Gin","273","Bebidas","Heraclito & Macedonio","0","false","60_108759","true","Heraclito & Macedonio","420","400","60","Licores"
"RappiItem","431","Gin","273","Bebidas","Bombay 750cl","0","false","60_108755","true","Bombay 750cl","431","410","60","Licores"
"RappiItem","410","Gin","273","Bebidas","Beefeater 750cl","0","false","60_108757","true","Beefeater 750cl","410","390","60","Licores"
"RappiItem","473","Vodka","281","Bebidas","Absolut Pera 750ml","0","false","60_108967","true","Absolut Pera 750ml","473","450","60","Licores"
"RappiItem","152","Vodka","281","Bebidas","Smirnoff 750ml","0","false","60_108952","true","Smirnoff 750ml","152","145","60","Licores"
